date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/2/2013,2014,0,,GSW,SAC,1567.5748,1431.8131,0.795296668,0.204703332,1571.3676,1428.0204,,,,,,,,,,,98,87,44,,
11/2/2013,2014,0,,UTA,HOU,1510.0985,1564.5637,0.565157211,0.434842789,1497.1816,1577.4806,,,,,,,,,,,93,104,63,,
11/2/2013,2014,0,,DAL,MEM,1522.1036,1615.9247,0.508891215,0.491108785,1533.4767,1604.5516,,,,,,,,,,,111,99,76,,
11/2/2013,2014,0,,POR,SAS,1449.5714,1671.4948,0.331402739,0.668597261,1464.948,1656.1182,,,,,,,,,,,115,105,70,,
11/2/2013,2014,0,,MIL,TOR,1455.7802,1483.3098,0.602806614,0.397193386,1445.0134,1494.0765,,,,,,,,,,,90,97,32,,
11/3/2013,2014,0,,ORL,BRK,1326.5491,1544.9099,0.335962398,0.664037602,1351.4109,1520.0481,,,,,,,,,,,107,86,16,,
11/3/2013,2014,0,,NYK,MIN,1578.5889,1493.7563,0.74345077,0.25654923,1561.6041,1510.7411,,,,,,,,,,,100,109,62,,
11/3/2013,2014,0,,MIA,WAS,1680.7281,1441.5829,0.875694681,0.124305319,1682.7576,1439.5535,,,,,,,,,,,103,93,70,,
11/3/2013,2014,0,,DET,BOS,1413.5685,1466.793,0.566911576,0.433088424,1422.233,1458.1284,,,,,,,,,,,87,77,20,,
11/3/2013,2014,0,,OKC,PHO,1624.4509,1406.147,0.862036034,0.137963966,1626.3011,1404.2968,,,,,,,,,,,103,96,49,,
11/3/2013,2014,0,,LAL,ATL,1503.5435,1485.3594,0.663810643,0.336189357,1506.5117,1482.3911,,,,,,,,,,,105,103,43,,
11/4/2013,2014,0,,MEM,BOS,1604.5516,1458.1284,0.805107231,0.194892769,1607.2908,1455.3893,,,,,,,,,,,95,88,59,,
11/4/2013,2014,0,,LAC,HOU,1590.9996,1577.4806,0.657791518,0.342208482,1600.9181,1567.5621,,,,,,,,,,,137,118,82,,
11/4/2013,2014,0,,CLE,MIN,1368.7809,1510.7411,0.439906303,0.560093697,1373.4658,1506.0562,,,,,,,,,,,93,92,19,,
11/4/2013,2014,0,,PHI,GSW,1484.9669,1571.3676,0.519560977,0.480439023,1467.7585,1588.5759,,,,,,,,,,,90,110,58,,
11/5/2013,2014,0,,DEN,SAS,1578.8459,1656.1182,0.532661215,0.467338785,1568.9944,1665.9697,,,,,,,,,,,94,102,91,,
11/5/2013,2014,0,,NOP,PHO,1413.854,1404.2968,0.65263954,0.34736046,1402.791,1415.3597,,,,,,,,,,,98,104,11,,
11/5/2013,2014,0,,DET,IND,1422.233,1593.8379,0.398386892,0.601613108,1415.3909,1600.6801,,,,,,,,,,,91,99,47,,
11/5/2013,2014,0,,POR,HOU,1464.948,1567.5621,0.496238079,0.503761921,1451.6138,1580.8964,,,,,,,,,,,101,116,53,,
11/5/2013,2014,0,,DAL,LAL,1533.4767,1506.5117,0.674996003,0.325003997,1542.8046,1497.1838,,,,,,,,,,,123,104,55,,
11/5/2013,2014,0,,BRK,UTA,1520.0481,1497.1816,0.669799071,0.330200929,1528.5015,1488.7283,,,,,,,,,,,104,88,50,,
11/5/2013,2014,0,,NYK,CHO,1561.6041,1346.3245,0.859952471,0.140047529,1545.418,1362.5106,,,,,,,,,,,97,102,23,,
11/5/2013,2014,0,,TOR,MIA,1494.0765,1682.7576,0.375078795,0.624921205,1487.2583,1689.5758,,,,,,,,,,,95,104,81,,
11/5/2013,2014,0,,SAC,ATL,1428.0204,1482.3911,0.565290893,0.434709107,1419.7626,1490.6489,,,,,,,,,,,100,105,26,,
11/6/2013,2014,0,,CHO,TOR,1362.5106,1487.2583,0.464445307,0.535554693,1367.7906,1481.9783,,,,,,,,,,,92,90,15,,
11/6/2013,2014,0,,MIL,CLE,1445.0134,1373.4658,0.728595299,0.271404701,1448.3724,1370.1068,,,,,,,,,,,109,104,11,,
11/6/2013,2014,0,,IND,CHI,1600.6801,1515.7382,0.743570756,0.256429244,1607.224,1509.1942,,,,,,,,,,,97,80,72,,
11/6/2013,2014,0,,ORL,LAC,1351.4109,1600.9181,0.297207189,0.702792811,1365.9064,1586.4226,,,,,,,,,,,98,90,30,,
11/6/2013,2014,0,,OKC,DAL,1626.3011,1542.8046,0.741981068,0.258018932,1632.0886,1537.0171,,,,,,,,,,,107,93,82,,
11/6/2013,2014,0,,MIN,GSW,1506.0562,1588.5759,0.525134969,0.474865031,1493.0049,1601.6272,,,,,,,,,,,93,106,67,,
11/6/2013,2014,0,,PHI,WAS,1467.7585,1439.5535,0.676559955,0.323440045,1448.3662,1458.9458,,,,,,,,,,,102,116,26,,
